,rea_ratio_score,rea_score,imf_score,adg_score,weight,Name,DOB,Days_Old,Weight,ADG,REA,REA_per_100,Backfat,%IMF,Scrotal,scrotal_cm_per_day,Meas_Date,bull_score,Class,Meas_Delta_yr,Meas_Year
1,57,41,55,30,18,Silva's Rockstar (D),2019-06-28,206.0,486.0,2.12,10.32,2.12,0.08,3.94,26.0,0.13,2020-01-20,183,Intermediate Bull Calf,,2020
2,52,49,53,22,32,"Gordon of Blackwatch (AI,D)",2013-05-06,262.0,579.0,2.02,11.821,2.04,0.269,3.908,28.0,0.11,2014-01-23,176,Intermediate Bull Calf,,2014
3,51,38,42,39,20,McQ Limited Edition Corduroy's (D),2019-07-21,183.0,501.0,2.46,10.08,2.01,0.08,3.55,24.0,0.13,2020-01-20,170,Intermediate Bull Calf,,2020
4,42,52,29,47,47,"STR Higher Ground (PV,D)",2022-05-20,248.0,713.0,2.67,12.72,1.78,0.18,2.8,32.0,0.13,2023-01-23,170,Intermediate Bull Calf,,2023
5,47,51,36,33,41,"Windemere Bismark (ET,D)",2013-05-02,266.0,635.0,2.2,12.069,1.9,0.168,3.102,28.0,0.11,2014-01-23,167,Intermediate Bull Calf,,2014
6,2,57,52,52,57,"Mid-Lakes Trailblazer (AI,PV,D)",2024-06-25,212.0,1478.0,6.74,17.07,1.15,0.24,3.9,42.0,0.13,2025-01-23,163,Intermediate Bull Calf,,2025
7,24,48,46,45,49,"Trafalgar Finley (ET,D)",2017-05-02,265.0,723.0,2.54,11.51,1.59,0.17,3.68,34.0,0.13,2018-01-22,163,Intermediate Bull Calf,,2018
8,38,40,40,43,34,Silva's Dazzle Kid Rock (D),2023-06-21,215.0,589.0,2.51,10.28,1.75,0.08,3.24,30.0,0.14,2024-01-22,161,Intermediate Bull Calf,,2024
9,11,45,54,48,50,"Mid-Lakes Chaos (AI,D)",2023-05-03,264.0,760.0,2.69,10.7,1.41,0.14,3.92,37.0,0.14,2024-01-22,158,Intermediate Bull Calf,,2024
10,43,42,51,21,33,Flatheads Serjen (D),2015-05-01,265.0,586.0,2.02,10.5,1.79,0.12,3.9,30.0,0.11,2016-01-21,157,Intermediate Bull Calf,,2016
11,32,46,35,42,44,Trafalgar Killian (D),2021-05-28,241.0,655.0,2.51,10.81,1.65,0.16,3.1,30.0,0.12,2022-01-24,155,Intermediate Bull Calf,,2022
12,56,27,48,24,12,BRF Crius (D),2014-07-22,184.0,433.0,2.08,9.19,2.12,0.25,3.72,23.0,0.12,2015-01-22,155,Intermediate Bull Calf,,2015
13,29,54,15,50,53,Mid-Lakes Trickster Edition (D),2022-05-18,250.0,800.0,3.0,13.03,1.63,0.18,2.11,31.0,0.12,2023-01-23,148,Intermediate Bull Calf,,2023
14,48,36,32,29,21,AM Finlay Earrachd of Poncha (D),2023-06-16,220.0,514.0,2.11,9.88,1.92,0.08,2.86,28.0,0.13,2024-01-22,145,Intermediate Bull Calf,,2024
15,25,32,38,49,36,"Mid-Lakes Tantor (AI,PV,D)",2023-07-15,191.0,601.0,2.88,9.55,1.59,0.1,3.19,34.0,0.18,2024-01-22,144,Intermediate Bull Calf,,2024
16,18,29,56,41,42,Shat Acres Raisin Cain (D),2013-06-01,236.0,635.0,2.48,9.329,1.47,0.21,4.104,28.0,0.12,2014-01-23,144,Intermediate Bull Calf,,2014
17,53,20,31,37,8,"Beaverhead's Bratach (AI,D)",2013-08-22,154.0,399.0,2.27,8.253,2.07,0.212,2.837,22.0,0.14,2014-01-23,141,Intermediate Bull Calf,,2014
