,rea_ratio_score,rea_score,imf_score,adg_score,weight,Name,DOB,Days_Old,Weight,ADG,REA,REA_per_100,Backfat,%IMF,Scrotal,scrotal_cm_per_day,Meas_Date,bull_score,Class,Meas_Year
1,37,31,36,21,10,Silva's Rockstar (D),2019-06-28,206.0,486.0,2.12,10.32,2.12,0.08,3.94,26.0,0.13,2020-01-20,125,Intermediate Bull Calf,2020
2,35,28,28,28,12,McQ Limited Edition Corduroy's (D),2019-07-21,183.0,501.0,2.46,10.08,2.01,0.08,3.55,24.0,0.13,2020-01-20,119,Intermediate Bull Calf,2020
3,17,35,31,32,35,"Trafalgar Finley (ET,D)",2017-05-02,265.0,723.0,2.54,11.51,1.59,0.17,3.68,34.0,0.13,2018-01-22,115,Intermediate Bull Calf,2018
4,29,36,16,33,34,"STR Higher Ground (PV,D)",2022-05-20,248.0,713.0,2.67,12.72,1.78,0.18,2.8,32.0,0.13,2023-01-23,114,Intermediate Bull Calf,2023
5,28,30,25,30,23,Silva's Dazzle Kid Rock (D),2023-06-21,215.0,589.0,2.51,10.28,1.75,0.08,3.24,30.0,0.14,2024-01-22,113,Intermediate Bull Calf,2024
6,30,32,34,15,22,Flatheads Serjen (D),2015-05-01,265.0,586.0,2.02,10.5,1.79,0.12,3.9,30.0,0.11,2016-01-21,111,Intermediate Bull Calf,2016
7,23,34,21,31,30,Trafalgar Killian (D),2021-05-28,241.0,655.0,2.51,10.81,1.65,0.16,3.1,30.0,0.12,2022-01-24,109,Intermediate Bull Calf,2022
8,6,33,35,34,36,"Mid-Lakes Chaos (AI,D)",2023-05-03,264.0,760.0,2.69,10.7,1.41,0.14,3.92,37.0,0.14,2024-01-22,108,Intermediate Bull Calf,2024
9,22,37,3,37,37,Mid-Lakes Trickster Edition (D),2022-05-18,250.0,800.0,3.0,13.03,1.63,0.18,2.11,31.0,0.12,2023-01-23,99,Intermediate Bull Calf,2023
10,18,22,23,35,25,"Mid-Lakes Tantor (AI,PV,D)",2023-07-15,191.0,601.0,2.88,9.55,1.59,0.1,3.19,34.0,0.18,2024-01-22,98,Intermediate Bull Calf,2024
11,32,27,18,20,13,AM Finlay Earrachd of Poncha (D),2023-06-16,220.0,514.0,2.11,9.88,1.92,0.08,2.86,28.0,0.13,2024-01-22,97,Intermediate Bull Calf,2024
12,25,29,12,22,27,"STR Vanderbilt (ET,D)",2019-05-04,261.0,610.0,2.15,10.23,1.68,0.07,2.6,31.0,0.12,2020-01-20,88,Intermediate Bull Calf,2020
13,24,20,20,24,21,"MES Ragnarok (AI,PV,D)",2022-06-06,231.0,566.0,2.23,9.35,1.65,0.08,2.98,33.0,0.14,2023-01-23,88,Intermediate Bull Calf,2023
14,36,14,33,3,4,Olaf of Hawk Ridge (D),2018-06-19,216.0,401.0,1.62,8.35,2.08,0.16,3.85,23.0,0.11,2019-01-21,86,Intermediate Bull Calf,2019
15,34,13,32,4,6,CRR Antarctic Rebel,2015-06-24,211.0,412.0,1.72,8.08,1.96,0.11,3.69,0.0,0.0,2016-01-21,83,Intermediate Bull Calf,2016
16,13,26,7,36,31,"Mid-Lakes Trailblazer (AI,PV,D)",2024-06-25,212.0,665.0,2.9,9.77,1.47,0.17,2.3,28.0,0.06,2025-01-23,82,Intermediate Bull Calf,2025
17,4,25,22,29,33,Flatheads Brig (D),2019-05-06,259.0,693.0,2.48,9.68,1.4,0.19,3.13,31.0,0.12,2020-01-20,80,Intermediate Bull Calf,2020
18,26,18,26,10,16,JAT Big Poppa (D),2023-05-06,261.0,539.0,1.87,9.09,1.69,0.11,3.29,23.0,0.09,2024-01-22,80,Intermediate Bull Calf,2024
19,33,21,15,7,9,LEA Night Moves (D),2017-05-26,241.0,484.0,1.8,9.38,1.94,0.09,2.77,27.0,0.11,2018-01-22,76,Intermediate Bull Calf,2018
20,27,23,11,14,19,Keltie of Highland Spice (D),2021-05-17,252.0,559.0,2.02,9.55,1.71,0.08,2.56,23.0,0.09,2022-01-24,75,Intermediate Bull Calf,2022
21,21,3,37,8,2,UCR ZorrowsRockinSteel (D),2017-07-22,184.0,383.0,1.81,6.23,1.63,0.08,4.23,23.0,0.12,2018-01-22,69,Intermediate Bull Calf,2018
22,14,12,29,13,17,"JAT Calum of the Castle (PV,D)",2023-05-14,253.0,541.0,1.94,7.96,1.47,0.1,3.58,21.0,0.08,2024-01-22,68,Intermediate Bull Calf,2024
23,20,10,27,9,8,Magic of Camel Creek (D),2023-06-02,234.0,481.0,1.84,7.76,1.61,0.09,3.55,27.0,0.12,2024-01-22,66,Intermediate Bull Calf,2024
24,12,17,10,26,28,Highland Spice Ninja Pepper (D),2024-05-17,251.0,614.0,2.25,8.93,1.45,0.17,2.37,28.0,0.05,2025-01-23,65,Intermediate Bull Calf,2025
25,19,24,1,19,26,Skye High Natural Law (D),2024-05-07,261.0,602.0,2.11,9.63,1.6,0.16,1.49,31.0,0.05,2025-01-23,63,Intermediate Bull Calf,2025
26,10,19,9,25,29,"Flatheads South Fork (PV,D)",2021-05-10,259.0,633.0,2.25,9.12,1.44,0.12,2.31,29.0,0.11,2022-01-24,63,Intermediate Bull Calf,2022
27,31,6,4,17,5,"CTK William Wallace (AI,D)",2015-08-02,172.0,412.0,2.1,7.46,1.81,0.12,2.18,0.0,0.0,2016-01-21,58,Intermediate Bull Calf,2016
28,9,7,30,11,14,"Windemere Kingsmark (AI,D)",2021-05-22,247.0,523.0,1.91,7.48,1.43,0.15,3.63,29.0,0.12,2022-01-24,57,Intermediate Bull Calf,2022
29,1,11,17,27,32,"PC Moorcroft (AI,PV,D)",2021-05-01,268.0,682.0,2.36,7.77,1.14,0.09,2.83,29.0,0.11,2022-01-24,56,Intermediate Bull Calf,2022
30,16,16,5,16,20,Holy Cross Dominic (D),2021-05-21,248.0,565.0,2.08,8.79,1.56,0.04,2.2,30.0,0.12,2022-01-24,53,Intermediate Bull Calf,2022
31,11,15,6,18,24,Bennachie's Ogilvie (D),2017-05-07,260.0,596.0,2.1,8.64,1.45,0.23,2.23,28.0,0.11,2018-01-22,50,Intermediate Bull Calf,2018
32,3,8,24,12,18,Flatheads Choice (D),2018-05-05,261.0,549.0,1.91,7.53,1.37,0.07,3.21,32.0,0.12,2019-01-21,47,Intermediate Bull Calf,2019
33,15,9,14,5,11,CBS High Calibre (D),2021-05-11,258.0,496.0,1.73,7.61,1.53,0.09,2.65,26.0,0.1,2022-01-24,43,Intermediate Bull Calf,2022
34,2,5,8,23,15,"PC Copperhead Road (AI,D)",2018-06-16,219.0,530.0,2.19,7.1,1.34,0.1,2.31,24.0,0.11,2019-01-21,38,Intermediate Bull Calf,2019
35,7,1,19,1,1,TJH Rocky (D),2021-08-05,172.0,300.0,1.45,4.26,1.42,0.07,2.89,25.0,0.15,2022-01-24,28,Intermediate Bull Calf,2022
36,5,2,13,2,3,Dundonald's Gruaidh (D),2021-06-28,210.0,388.0,1.61,5.47,1.41,0.06,2.64,25.5,0.12,2022-01-24,22,Intermediate Bull Calf,2022
