,rea_ratio_score,rea_score,imf_score,adg_score,weight,Name,DOB,Days_Old,Weight,ADG,REA,REA_per_100,Backfat,%IMF,Scrotal,scrotal_cm_per_day,Meas_Date,bull_score,Class,Meas_Delta_yr,Meas_Year
1,47,38,45,27,14,Silva's Rockstar (D),2019-06-28,206.0,486.0,2.12,10.32,2.12,0.08,3.94,26.0,0.13,2020-01-20,157,Intermediate Bull Calf,,2020
2,42,35,34,37,16,McQ Limited Edition Corduroy's (D),2019-07-21,183.0,501.0,2.46,10.08,2.01,0.08,3.55,24.0,0.13,2020-01-20,148,Intermediate Bull Calf,,2020
3,43,44,43,17,27,"Gordon of Blackwatch (AI,D)",2013-05-06,262.0,579.0,2.02,11.821,2.04,0.269,3.908,28.0,0.11,2014-01-23,147,Intermediate Bull Calf,,2014
4,34,46,20,43,44,"STR Higher Ground (PV,D)",2022-05-20,248.0,713.0,2.67,12.72,1.78,0.18,2.8,32.0,0.13,2023-01-23,143,Intermediate Bull Calf,,2023
5,33,37,31,40,29,Silva's Dazzle Kid Rock (D),2023-06-21,215.0,589.0,2.51,10.28,1.75,0.08,3.24,30.0,0.14,2024-01-22,141,Intermediate Bull Calf,,2024
6,19,43,37,42,45,"Trafalgar Finley (ET,D)",2017-05-02,265.0,723.0,2.54,11.51,1.59,0.17,3.68,34.0,0.13,2018-01-22,141,Intermediate Bull Calf,,2018
7,38,45,27,30,37,"Windemere Bismark (ET,D)",2013-05-02,266.0,635.0,2.2,12.069,1.9,0.168,3.102,28.0,0.11,2014-01-23,140,Intermediate Bull Calf,,2014
8,27,42,26,41,40,Trafalgar Killian (D),2021-05-28,241.0,655.0,2.51,10.81,1.65,0.16,3.1,30.0,0.12,2022-01-24,136,Intermediate Bull Calf,,2022
9,35,39,42,19,28,Flatheads Serjen (D),2015-05-01,265.0,586.0,2.02,10.5,1.79,0.12,3.9,30.0,0.11,2016-01-21,135,Intermediate Bull Calf,,2016
10,6,41,44,44,46,"Mid-Lakes Chaos (AI,D)",2023-05-03,264.0,760.0,2.69,10.7,1.41,0.14,3.92,37.0,0.14,2024-01-22,135,Intermediate Bull Calf,,2024
11,46,23,39,21,9,BRF Crius (D),2014-07-22,184.0,433.0,2.08,9.19,2.12,0.25,3.72,23.0,0.12,2015-01-22,129,Intermediate Bull Calf,,2015
12,25,47,5,47,47,Mid-Lakes Trickster Edition (D),2022-05-18,250.0,800.0,3.0,13.03,1.63,0.18,2.11,31.0,0.12,2023-01-23,124,Intermediate Bull Calf,,2023
13,20,27,29,45,31,"Mid-Lakes Tantor (AI,PV,D)",2023-07-15,191.0,601.0,2.88,9.55,1.59,0.1,3.19,34.0,0.18,2024-01-22,121,Intermediate Bull Calf,,2024
14,13,24,46,38,38,Shat Acres Raisin Cain (D),2013-06-01,236.0,635.0,2.48,9.329,1.47,0.21,4.104,28.0,0.12,2014-01-23,121,Intermediate Bull Calf,,2014
15,39,33,23,25,17,AM Finlay Earrachd of Poncha (D),2023-06-16,220.0,514.0,2.11,9.88,1.92,0.08,2.86,28.0,0.13,2024-01-22,120,Intermediate Bull Calf,,2024
16,32,29,40,16,23,MVR AlbaAnAigh Duncan (D),2014-05-08,259.0,555.0,1.95,9.59,1.73,0.2,3.79,28.0,0.11,2015-01-22,117,Intermediate Bull Calf,,2015
17,44,16,22,35,5,"Beaverhead's Bratach (AI,D)",2013-08-22,154.0,399.0,2.27,8.253,2.07,0.212,2.837,22.0,0.14,2014-01-23,117,Intermediate Bull Calf,,2014
18,24,40,15,34,39,Flatheads Ben Alter (D),2014-05-02,265.0,648.0,2.26,10.55,1.63,0.08,2.64,32.0,0.12,2015-01-22,113,Intermediate Bull Calf,,2015
19,28,25,25,31,26,"MES Ragnarok (AI,PV,D)",2022-06-06,231.0,566.0,2.23,9.35,1.65,0.08,2.98,33.0,0.14,2023-01-23,109,Intermediate Bull Calf,,2023
20,29,36,14,28,34,"STR Vanderbilt (ET,D)",2019-05-04,261.0,610.0,2.15,10.23,1.68,0.07,2.6,31.0,0.12,2020-01-20,107,Intermediate Bull Calf,,2020
21,45,17,41,4,6,Olaf of Hawk Ridge (D),2018-06-19,216.0,401.0,1.62,8.35,2.08,0.16,3.85,23.0,0.11,2019-01-21,107,Intermediate Bull Calf,,2019
22,4,31,28,39,43,Flatheads Brig (D),2019-05-06,259.0,693.0,2.48,9.68,1.4,0.19,3.13,31.0,0.12,2020-01-20,102,Intermediate Bull Calf,,2020
